compound,compound_by_sent,median_cmpd,median_neg,median_neu,median_pos,name,negative,negative_by_sent,neutral,neutral_by_sent,num_reviews,positive,positive_by_sent,range_cmpd_max,range_cmpd_min,range_neg_max,range_neg_min,range_neu_max,range_neu_min,range_pos_max,range_pos_min,rating
0.2367,0.2181,0.0772,0.0,0.821,0.1055,Lafitte,0.0472,0.0462,0.7729,0.7863,270,0.1771,0.1635,0.9686,-0.8519,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.3016,0.2797,0.296,0.0,0.79,0.141,The Cosmopolitan,0.0285,0.0327,0.7667,0.7735,447,0.2009,0.1904,0.9843,-0.8908,0.778,0.0,1.0,0.0,1.0,0.0,3.5
0.2457,0.2105,0.0249,0.0,0.828,0.097,Julius’ Castle,0.0489,0.0476,0.7771,0.7915,53,0.1669,0.1514,0.9501,-0.8475,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.245,0.221,0.17045,0.0,0.819,0.1165,903,0.0399,0.0431,0.7683,0.7844,87,0.1856,0.1696,0.9432,-0.7165,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2052,0.1854,0.0258,0.0,0.821,0.097,MacArthur Park,0.0528,0.0571,0.793,0.7921,47,0.1397,0.1431,0.9186,-0.8422,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.2482,0.2158,0.0387,0.0,0.814,0.097,Gordon Biersch Brewery Restaurant,0.0439,0.047,0.7786,0.788,679,0.1722,0.1611,0.9578,-0.8519,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.2333,0.1977,0.0,0.0,0.837,0.071,Rubicon,0.0453,0.0454,0.7812,0.8051,143,0.1699,0.1464,0.9727,-0.9252,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.3129,0.2691,0.2732,0.0,0.7935000000000001,0.15,Coco500,0.0316,0.035,0.7445,0.7616,764,0.2239,0.2034,0.9721,-0.8274,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.3608,0.3608,0.4576,0.0,0.423,0.577,Baldoria Restaurant,0.0,0.0,0.608,0.608,1,0.392,0.392,0.6249,0.0,0.0,0.0,1.0,0.401,0.599,0.0,4.0
0.3285,0.2681,0.3182,0.0,0.7835000000000001,0.157,Bay Watch Restaurant,0.0331,0.0369,0.7267,0.7563,184,0.2367,0.2031,0.9442,-0.7899,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2346,0.213,0.0772,0.0,0.819,0.104,Rocketfish,0.0514,0.0447,0.7642,0.7876,257,0.1812,0.1634,0.9531,-0.9136,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.1385,0.1214,0.0,0.0,0.8154999999999999,0.0,Usulutan Restaurant,0.072,0.0689,0.7717,0.7867,41,0.1532,0.1413,0.9274,-0.7506,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,Mc2 Restaurant,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2284,0.2217,0.1901,0.0,0.815,0.12,Orson,0.05,0.0442,0.7812,0.7907,695,0.1689,0.1651,0.975,-0.866,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.244,0.2127,0.0498,0.0,0.818,0.102,Heart,0.0454,0.0489,0.7751,0.7879,211,0.1753,0.1621,0.9746,-0.8432,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2826,0.2271,0.1801,0.0,0.804,0.113,Charanga,0.0339,0.041,0.7657,0.7791,372,0.1926,0.1724,0.9903,-0.8832,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.0,0.0,0.0,0.0,0.0,0.0,Boule Cafe,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2861,0.2512,0.2732,0.0,0.796,0.152,Nova Bar & Restaurant,0.0373,0.0412,0.7541,0.7718,434,0.2019,0.182,0.9768,-0.9099,0.778,0.0,1.0,0.0,1.0,0.0,3.5
0.321,0.3043,0.3724,0.0,0.805,0.156,Volta,0.0277,0.0253,0.7611,0.7816,138,0.2046,0.1894,0.9595,-0.7964,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,Nextaurant,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3857,0.3857,0.4215,0.0,0.738,0.148,Beaucoup,0.0797,0.0797,0.7443,0.7443,1,0.176,0.176,0.835,-0.0994,0.239,0.0,0.882,0.613,0.262,0.118,4.0
0.3077,0.2899,0.3612,0.0,0.797,0.164,Tataki Canyon,0.0288,0.0307,0.75,0.7732,255,0.2112,0.1901,0.9518,-0.8287,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.166,0.2354,0.2732,0.0,0.8674999999999999,0.08249999999999999,The Mandarin Restaurant,0.0601,0.0303,0.7908,0.8426,9,0.1491,0.127,0.8979,-0.763,0.387,0.0,1.0,0.37,0.63,0.0,3.5
0.1312,0.1377,0.0,0.0,0.8145,0.0,Equinox,0.0827,0.0717,0.7783,0.7882,84,0.1353,0.135,0.9735,-0.8674,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.2156,0.2022,0.0772,0.0,0.783,0.118,Hanabi Japanese Restaurant,0.0672,0.0698,0.7497,0.7513,89,0.1783,0.1728,0.9741,-0.7906,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2152,0.2037,0.0258,0.0,0.839,0.083,Quan Bac,0.0394,0.0366,0.7941,0.8079,166,0.1648,0.1534,0.9664,-0.8909,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.1131,0.1131,0.0,0.0,0.8975,0.0,Natori Restaurant,0.0342,0.0342,0.8347,0.8347,1,0.1312,0.1312,0.4404,-0.2023,0.205,0.0,1.0,0.58,0.42,0.0,5.0
0.2906,0.2499,0.23525000000000001,0.0,0.8035000000000001,0.129,Ponzu,0.0319,0.0397,0.7632,0.7732,246,0.1976,0.1773,0.9743,-0.9081,1.0,0.0,1.0,0.0,1.0,0.0,3.0
